Trial,StartTime,Duration,Frequency,dB_SPL
189,156.81035,0.1,9600,70
190,157.51935,0.1,3809.763,70
191,158.2204,0.1,1200,70
192,159.0111,0.1,300,70
193,159.91365,0.1,150,70
194,160.7106,0.1,7619.525,70
195,161.41555,0.1,2400,70
196,162.11115,0.1,3023.811,70
197,163.0112,0.1,12095.242,70
198,163.8268,0.1,952.441,70
199,164.61845,0.1,6047.621,60
200,165.521,0.1,3023.811,60
201,166.31925,0.1,238.11,60
202,167.1119,0.1,188.988,60
203,168.0123,0.1,952.441,60
204,168.9219,0.1,300,60
205,169.7174,0.1,3809.763,60
206,170.5138,0.1,1904.881,60
207,171.4132,0.1,4800,60
208,172.11535,0.1,12095.242,60
209,172.91175,0.1,9600,60
210,173.71705,0.1,1200,60
211,174.41775,0.1,150,60
212,175.113,0.1,600,60
213,176.0123,0.1,755.953,60
214,176.91815,0.1,7619.525,60
215,177.62445,0.1,1511.905,60
216,178.512,0.1,15239.05,60
217,179.2119,0.1,377.976,60
218,180.1157,0.1,19200,60
219,181.02355,0.1,476.22,60
220,181.81225,0.1,2400,60
221,182.7194,0.1,300,50
222,183.51325,0.1,1200,50
223,184.4141,0.1,188.988,50
224,185.21365,0.1,2400,50
225,185.9143,0.1,600,50
226,186.71345,0.1,12095.242,50
227,187.6155,0.1,7619.525,50
228,188.31625,0.1,150,50
229,189.12855,0.1,755.953,50
230,190.0199,0.1,1511.905,50
231,190.71805,0.1,6047.621,50
232,191.62445,0.1,952.441,50
233,192.522,0.1,377.976,50
234,193.3139,0.1,238.11,50
235,194.0193,0.1,19200,50
236,194.8378,0.1,1904.881,50
237,195.62365,0.1,9600,50
238,196.51705,0.1,476.22,50
239,197.418,0.1,3023.811,50
240,198.3281,0.1,4800,50
241,199.2141,0.1,15239.05,50
242,200.016,0.1,3809.763,50
243,200.91735,0.1,755.953,40
244,201.7289,0.1,600,40
245,202.41555,0.1,19200,40
246,203.21485,0.1,9600,40
247,204.1249,0.1,2400,40
248,204.91595,0.1,3023.811,40
249,205.814,0.1,7619.525,40
250,206.71815,0.1,1200,40
251,207.6304,0.1,3809.763,40
252,208.41875,0.1,377.976,40
253,209.32095,0.1,15239.05,40
254,210.01855,0.1,6047.621,40
